time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,ehc_plans,number_asd,number_hi,number_mld,number_msi,number_oth,number_pd,number_pmld,number_semh,number_slcn,number_sld,number_spld,number_vi,number_need_unknown,asd_pc,hi_pc,mld_pc,msi_pc,oth_pc,pd_pc,pmld_pc,semh_pc,slcn_pc,sld_pc,spld_pc,vi_pc,unknown_pc
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 8,545,161,1,62,2,21,5,2,159,97,6,18,1,10,29.5,0.2,11.4,0.4,3.9,0.9,0.4,29.2,17.8,1.1,3.3,0.2,1.8
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 9,578,166,5,88,1,25,13,4,158,81,4,21,1,11,28.7,0.9,15.2,0.2,4.3,2.2,0.7,27.3,14,0.7,3.6,0.2,1.9
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,All EHC plans,All EHC plans,7966,2353,46,613,25,285,172,41,2039,1996,49,181,26,140,29.5,0.6,7.7,0.3,3.6,2.2,0.5,25.6,25.1,0.6,2.3,0.3,1.8
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Any other ethnic group,73,25,2,7,0,2,5,1,5,22,2,0,0,2,34.2,2.7,9.6,0,2.7,6.8,1.4,6.8,30.1,2.7,0,0,2.7
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Asian - Any other Asian background,89,33,2,8,0,3,2,1,5,29,1,3,0,2,37.1,2.2,9,0,3.4,2.2,1.1,5.6,32.6,1.1,3.4,0,2.2
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Asian - Bangladeshi,32,5,0,3,1,0,0,1,3,19,0,0,0,0,15.6,0,9.4,3.1,0,0,3.1,9.4,59.4,0,0,0,0
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Asian - Chinese,10,4,0,2,0,0,0,0,1,3,0,0,0,0,40,0,20,0,0,0,0,10,30,0,0,0,0
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Asian - Indian,172,56,2,20,0,1,6,2,3,74,1,1,0,6,32.6,1.2,11.6,0,0.6,3.5,1.2,1.7,43,0.6,0.6,0,3.5
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Asian - Pakistani,114,40,0,8,1,0,6,4,10,33,1,2,2,7,35.1,0,7,0.9,0,5.3,3.5,8.8,28.9,0.9,1.8,1.8,6.1
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Black - Any other Black background,48,11,0,6,0,0,3,0,7,20,1,0,0,0,22.9,0,12.5,0,0,6.3,0,14.6,41.7,2.1,0,0,0
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Black - Black African,198,46,1,13,0,4,5,4,21,96,0,1,1,6,23.2,0.5,6.6,0,2,2.5,2,10.6,48.5,0,0.5,0.5,3
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Black - Black Caribbean,31,6,0,5,0,2,0,0,8,9,0,0,0,1,19.4,0,16.1,0,6.5,0,0,25.8,29,0,0,0,3.2
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Ethnicity,Mixed - Any other Mixed background,157,35,1,15,0,4,0,2,41,53,1,2,0,3,22.3,0.6,9.6,0,2.5,0,1.3,26.1,33.8,0.6,1.3,0,1.9
